tractid,vote_by_tract
06013339002,254463.243690523
06013340001,268819.162979874
06013340002,430733.511393957
06013341000,286454.717446533
06013343001,243468.198584307
06013343002,229492.329219498
06013343003,228632.366868507
06013345101,241611.423498362
06013345102,188301.061139969
06013345103,254556.230897546
06013345105,321740.188652375
06013345108,353049.632582207
06013345111,163304.387016994
06013345112,325942.16782887
06013345113,225332.033339098
06013345114,351635.976053528
06013345115,270845.929320775
06013345116,138299.99998636398
06013345202,332292.965436091
06013345203,353651.389817472
06013345204,209179.490576665
06013346101,204155.857431741
06013346102,336603.957402407
06013346201,419168.782288398
06013346203,220745.027282931
06013346204,380006.974248964
06013347000,374866.717796427
06013348000,268326.969826896
06013349000,274059.193038927
06013350000,319801.54299457
06013351101,247383.424607213
06013351102,278148.114747886
06013351103,158320.879972536
06013351200,362031.542428434
06013352101,147299.039475648
06013352102,298068.957307661
06013352201,330025.323244522
06013352202,147650.47478671
06013353001,221922.03321958202
06013353002,247395.420190053
06013354001,116699.99997790299
06013354002,424435.139404394
06013355107,201297.687441029
06013355108,428793.974472079
06013355109,243640.636111031
06013355110,126829.163782534
06013355111,193508.576348999
06013355112,291523.192648828
06013355113,236262.201431727
06013355114,488646.619905093
06013355115,180334.566362021
06013355116,163428.585287597
06013355117,202408.81517099802
06013355200,293785.598326091
06013355301,375161.007435745
06013355302,193463.594600646
06013355304,411584.821373473
06013355306,289938.902145597
06013356001,140373.846144594
06013356002,250992.879590264
06013357000,162280.673429058
06013358000,189424.075711652
06013359102,184842.798402632
06013359103,200588.235276713
06013359104,79399.999993648
06013359105,201999.99997576
06013359202,303899.99997584
06013359203,259828.72704611
06013359204,186499.99998998002
06013360101,207137.542350715
06013360102,218865.481805903
06013360200,160933.213939376
06013361000,173724.576150774
06013362000,172389.725792736
06013363000,273506.021114633
06013364002,173379.066346309
06013365002,75627.228179361
06013365003,130040.743315638
06013366001,95635.106095612
06013366002,114744.187290372
06013367100,161297.802229406
06013367200,116750.999135415
06013368001,96339.141997197
06013368002,34968.462939918
06013369001,136619.709956853
06013369002,86858.561028036
06013370000,149243.731335356
06013371000,174569.316482548
06013372000,191570.132318646
06013373000,83873.632949405
06013374000,149559.652062487
06013375000,48010.260868106
06013376000,88742.034028822
06013377000,138204.840945679
06013378000,211340.659494122
06013379000,132409.522106725
06013380000,254791.199000582
06013381000,166916.998400418
06013382000,204564.89807738
06013383000,226263.595375884
06013384000,245053.618692843
06013385100,170772.29884840202
06013385200,80842.814281235
06013386000,130012.172180452
06013387000,123148.808789622
06013388000,139849.571029404
06013389100,102779.26850523001
06013389200,55436.40458888
06013390100,144612.380233195
06013390200,115082.867759521
06013391000,173780.861229109
06013392000,163726.315771641
06013392200,269293.54051069997
06013392300,58900.957988874
06041101100,165438.023878076
06041101200,143290.347530429
06041102100,139404.849678919
06041102202,306985.84022387
06041102203,193411.359706664
06041103100,428626.38973168
06041103200,291347.538114136
06041104101,393872.751982869
06041104102,193271.125227328
06041104200,288039.087405732
06041104300,104525.853822809
06041105000,268231.249975859
06041106001,178038.42688485
06041106002,275721.339283108
06041107000,373599.999966275
06041108100,406970.814231339
06041108200,305161.861287313
06041109001,175873.52894278
06041109002,240758.505543099
06041110100,303666.956563444
06041110200,358572.062222573
06041111000,269597.07154129003
06041112100,203133.066729998
06041112201,40646.235136584
06041112202,102453.76484615401
06041113000,247876.957853559
06041114100,338899.250615409
06041114200,190323.076790699
06041115000,448889.40117411903
06041116000,191234.14095361799
06041117000,277671.676652451
06041118100,135417.228975895
06041119100,284065.539387348
06041119201,189724.829345962
06041119202,211810.837842201
06041120000,387963.392920082
06041121100,307118.819617368
06041121200,310777.775724778
06041123000,130508.235272968
06041124100,303323.486676766
06041124200,333187.2985418
06041125000,204703.7198909
06041126100,353784.681166595
06041126200,261330.364931516
06041127000,291894.449052787
06041128100,405842.801422888
06041128200,288898.443436407
06041129000,92281.88851159
06041130201,207001.247791282
06041130202,263662.94589828
06041131100,62178.030296769
06041132100,124299.99998144
