"","V1","District Name","District Name2","District Name3","County Name (District).x","District Type (District).x","Enrollment (District).x","Enrollment (County)","Enrollment (State)","Current Exp of Educ per ADA (Ed Code 41372) (District)","Total Gen Fund Revenues (District)","Total Gen Fund Revenues (State)","Total Gen Fund Revenues Per Student (District)","Total Gen Fund Expenditures (District)","Total Gen Fund Expenditures Per Student (District)","County Name (District).y","District Type (District).y","City (District)","CDS Number (District)","Enrollment (District).y","p_CohortGraduates","CohortDropouts","p_CohortDropouts","CohortGraduates","CAASPPMATH","CAASPPELA","TGFExp","TGFExpPS","TGFRev","TGFRevPS","GENLOCALREVPS","GENSTATEREVPS","FEDREVPS","Zscore"
"93","93","Old Adobe Union (Sonoma)","Old Adobe Union","Old Adobe Union Elementary School District","Sonoma","Elementary School District",1992,70940,6228235,"12060","20823737",66666947122,"12379","20630530","12264","Sonoma","Elementary School District","Petaluma","49-70847-0000000",1992,NA,NA,NA,NA,42.8,48.3,20630530,12264,20823737,12379,1004,958,417,-0.371753456555919
"94","94","Orchard Elementary (Santa Clara)","Orchard Elementary","Orchard Elementary School District","Santa Clara","Elementary School District",894,273264,6228235,"10427","9127075",66666947122,"10490","9243548","10624","Santa Clara","Elementary School District","San Jose","43-69633-0000000",894,NA,NA,NA,NA,45.8,51,9243548,10624,9127075,10490,244,839,469,-0.635220555995534
"95","95","Orinda Union Elementary (Contra Costa)","Orinda Union Elementary","Orinda Union Elementary School District","Contra Costa","Elementary School District",2542,177370,6228235,"12261","31325197",66666947122,"12695","31177490","12635","Contra Costa","Elementary School District","Orinda","07-61770-0000000",2542,NA,NA,NA,NA,84.2,86.5,31177490,12635,31325197,12695,4019,951,202,-0.327679553208689
"96","96","Pacifica (San Mateo)","Pacifica","Pacifica Elementary School District","San Mateo","Elementary School District",3150,95620,6228235,"9927","30861686",66666947122,"10211","30892967","10222","San Mateo","Elementary School District","Pacifica","41-68932-0000000",3150,NA,NA,NA,NA,54,58.3,30892967,10222,30861686,10211,744,872,253,-0.674133907368563
"97","97","Palo Alto Unified (Santa Clara)","Palo Alto Unified","Palo Alto Unified School District","Santa Clara","Unified School District",12287,273264,6228235,"19386","228242028",66666947122,"19334","230514519","19526","Santa Clara","Unified School District","Palo Alto","43-69641-0000000",12287,NA,NA,NA,NA,81.5,81.9,230514519,19526,228242028,19334,3101,1228,300,0.598290840216191
"98","98","Petaluma City Elementary (Sonoma)","Petaluma City Elementary","Petaluma City Elementary School District","Sonoma","Elementary School District",2404,70940,6228235,"N/A","N/A",66666947122,"N/A","N/A","N/A","Sonoma","Elementary School District","Petaluma","49-70854-0000000",2404,NA,NA,NA,NA,49.3,50,NA,NA,NA,NA,NA,NA,NA,NA
"99","99","Piedmont City Unified (Alameda)","Piedmont City Unified","Piedmont City Unified School District","Alameda","Unified School District",2692,226904,6228235,"15048","39399416",66666947122,"15122","39778819","15268","Alameda","Unified School District","Piedmont","01-61275-0000000",2692,NA,NA,NA,NA,83.6,86,39778819,15268,39399416,15122,5867,1216,270,0.0108247614233616
"100","100","Piner-Olivet Union Elementary (Sonoma)","Piner-Olivet Union Elementary","Piner-Olivet Union Elementary School District","Sonoma","Elementary School District",1422,70940,6228235,"11441","13630542",66666947122,"13048","14572816","13950","Sonoma","Elementary School District","Santa Rosa","49-70870-0000000",1422,NA,NA,NA,NA,18,35.5,14572816,13950,13630542,13048,1273,1114,406,-0.278445097887258
"101","101","Pittsburg Unified (Contra Costa)","Pittsburg Unified","Pittsburg Unified School District","Contra Costa","Unified School District",11489,177370,6228235,"11404","131507668",66666947122,"12132","128560270","11860","Contra Costa","Unified School District","Pittsburg","07-61788-0000000",11489,NA,NA,NA,NA,19.9,33.3,128560270,11860,131507668,12132,453,1132,460,-0.406203627843153
"102","102","Pleasanton Unified (Alameda)","Pleasanton Unified","Pleasanton Unified School District","Alameda","Unified School District",14778,226904,6228235,"10075","151175045",66666947122,"10526","147068230","10240","Alameda","Unified School District","Pleasanton","01-75101-0000000",14778,NA,NA,NA,NA,76.9,80.8,147068230,10240,151175045,10526,577,1565,234,-0.630199478399014
